parameter,count_part1,count_part2,count_part3,count_part4,total_count
PWDCHGDATE,1,1,0,0,2
PWDLOCKDATE,1,1,0,0,2
PWDSETDATE,1,1,0,0,2
RCVPOR,2,0,0,0,2
RCVPRN,2,0,0,0,2
RCVPRT,2,0,0,0,2
RELIK,0,0,2,0,2
REPID,2,0,0,0,2
RFC,0,2,0,0,2
RFC_TYPE,0,2,0,0,2
RLWRT,0,0,2,0,2
ROLL,0,2,0,0,2
ROUTE,0,0,2,0,2
RRSTA,0,0,2,0,2
SERIALNR,2,0,0,0,2
SERVER,2,0,0,0,2
SEVERFLTRD,0,2,0,0,2
SEVE_LEVEL,0,2,0,0,2
SHIPTO_DESC,0,0,2,0,2
SKIPROWS,0,1,1,0,2
SLGCONNECTION,0,2,0,0,2
SLGCONNECTIONCOUNTER,0,2,0,0,2
SLGDATA,0,2,0,0,2
SLGPASSPORT,0,2,0,0,2
SLGROOTCONTEXT,0,2,0,0,2
SLGTERMIDNEW,0,2,0,0,2
SNDART,2,0,0,0,2
SNDNO,2,0,0,0,2
SNDPOR,2,0,0,0,2
SNDPRN,2,0,0,0,2
SNDPRT,2,0,0,0,2
SNDTP,2,0,0,0,2
SPE_TMPID,0,0,2,0,2
SRCCLI,0,2,0,0,2
STAT_ERROR,2,0,0,0,2
STAT_OK,2,0,0,0,2
STAT_TRANSIT,2,0,0,0,2
STAT_WAIT,2,0,0,0,2
STPRS,0,0,2,0,2
STRKORR,0,2,0,0,2
SUBTYPE,2,0,0,0,2
SYSNAM,0,2,0,0,2
TARCLI,0,2,0,0,2
TARSYSTEM,0,2,0,0,2
TDDAT,0,0,2,0,2
TERM,0,2,0,0,2
TIME_DIFF,0,1,1,0,2
TIME_DIFF_UNIT,0,1,1,0,2
TONUMBER,1,1,0,0,2
TOTAL_MEM_MB,0,2,0,0,2
TOYEAR,1,1,0,0,2
TPSTATID,0,2,0,0,2
TRACE,0,2,0,0,2
TRFUNCTION,0,2,0,0,2
TRSTA,0,0,2,0,2
TXZ01,0,0,2,0,2
UDATE_REPET,0,0,2,0,2
UEBTK,0,0,2,0,2
UEBTO,0,0,2,0,2
UMODES,0,2,0,0,2
UMSAV,0,0,2,0,2
UMSAV_FR,0,0,2,0,2
UPDDAT,2,0,0,0,2
UPDDT,0,0,2,0,2
UPDTIM,2,0,0,0,2
UPD_DATE,0,2,0,0,2
UPD_TIME,0,2,0,0,2
USERNAM,2,0,0,0,2
USES_32_DO,0,2,0,0,2
USNAD,0,0,2,0,2
USNAM_HD,0,0,2,0,2
USNAZ,0,0,2,0,2
US_GUI,0,2,0,0,2
US_PLUGIN,0,2,0,0,2
US_RFC,0,2,0,0,2
UVPAS,0,0,2,0,2
UVPIS,0,0,2,0,2
VALUEORIG,0,2,0,0,2
VBCLIINFO,2,0,0,0,2
VBCLINAME,2,0,0,0,2
VBCONTEXT,2,0,0,0,2
VBELP,0,0,2,0,2
VBLANG,2,0,0,0,2
VBMANDT,2,0,0,0,2
VBNAME,2,0,0,0,2
VBRC,2,0,0,0,2
VBREPORT,2,0,0,0,2
VBSTATE,2,0,0,0,2
VBTCODE,2,0,0,0,2
VBUSR,2,0,0,0,2
VBZONLO,2,0,0,0,2
VERPR,0,0,2,0,2
VESTK,0,0,2,0,2
VGBEL,0,0,2,0,2
VGPOS,0,0,2,0,2
VGTYP,0,0,2,0,2
VKMZL,0,0,2,0,2
VKNZL,0,0,2,0,2
VKWRA,0,0,2,0,2
VKWRT,0,0,2,0,2
VLSTK,0,0,2,0,2
VOLEH,0,0,2,0,2
VOLUM,0,0,2,0,2
VRGNG,0,0,2,0,2
VSTEL,0,0,2,0,2
VTEXT,0,0,2,0,2
WADAT,0,0,2,0,2
WADAT_IST,0,0,2,0,2
WAERK_FR,0,0,2,0,2
WBSTA,0,0,2,0,2
WBSTK,0,0,2,0,2
WEMNG,0,0,2,0,2
WP_ACTION,2,0,0,0,2
WP_BNAME,2,0,0,0,2
WP_CPU,2,0,0,0,2
WP_DUMPS,2,0,0,0,2
WP_ELTIME,2,0,0,0,2
WP_IACTION,2,0,0,0,2
WP_INDEX,2,0,0,0,2
WP_IRESTRT,2,0,0,0,2
WP_ISTATUS,2,0,0,0,2
WP_ITYPE,2,0,0,0,2
WP_IWAIT,2,0,0,0,2
WP_MANDT,2,0,0,0,2
WP_NO,2,0,0,0,2
WP_PID,2,0,0,0,2
WP_REPORT,2,0,0,0,2
WP_RESTART,2,0,0,0,2
WP_SEM,2,0,0,0,2
WP_SEMSTAT,2,0,0,0,2
WP_STATUS,2,0,0,0,2
WP_TABLE,2,0,0,0,2
WP_TYP,2,0,0,0,2
WP_WAITINF,2,0,0,0,2
WP_WAITING,2,0,0,0,2
WP_WAITTIM,2,0,0,0,2
WRTBM,0,0,2,0,2
WRTZL,0,0,2,0,2
XAMEI,0,0,2,0,2
XBLNI,0,0,2,0,2
XBUFI,0,0,2,0,2
XDIFF,0,0,2,0,2
XLOEK,0,0,2,0,2
XNULL,0,0,2,0,2
XNZAE,0,0,2,0,2
XZAEL,0,0,2,0,2
ZEILI,0,0,2,0,2
